lgpAgentIdentManufacturer,1.3.6.1.4.1.476.1.42.2.1.1.0
lgpEnvHumidityDescrRel,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.2.1
lgpEnvHumidityDescrRel,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.2.5
lgpEnvHumidityMeasurementRel,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.3.1
lgpEnvHumidityMeasurementRel,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.3.5
lgpEnvHumiditySetPoint,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.6.1
lgpEnvHumiditySetPoint,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.6.5
lgpEnvHumidityDailyHigh,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.7.1
lgpEnvHumidityDailyLow,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.8.1
lgpEnvHumidityDailyHighTimeHour,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.9.1
lgpEnvHumidityDailyHighTimeMinute,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.10.1
lgpEnvHumidityDailyHighTimeSecond,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.11.1
lgpEnvHumidityDailyLowTimeHour,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.12.1
lgpEnvHumidityDailyLowTimeMinute,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.13.1
lgpEnvHumidityDailyLowTimeSecond,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.14.1
lgpEnvHumidityDeadBand,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.15.1
lgpEnvHumidifyPropBand,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.16.1
lgpEnvHumidityMeasurementRelTenths,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.50.1
lgpEnvHumidityMeasurementRelTenths,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.50.5
lgpEnvHumidityHighThresholdRelTenths,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.51.1
lgpEnvHumidityHighThresholdRelTenths,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.51.5
lgpEnvHumidityLowThresholdRelTenths,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.52.1
lgpEnvHumidityLowThresholdRelTenths,1.3.6.1.4.1.476.1.42.3.4.2.2.3.1.52.5
lgpEnvStateSystem,1.3.6.1.4.1.476.1.42.3.4.3.1.0
lgpEnvStateCooling,1.3.6.1.4.1.476.1.42.3.4.3.2.0
lgpEnvStateHumidifying,1.3.6.1.4.1.476.1.42.3.4.3.4.0
lgpEnvStateDehumidifying,1.3.6.1.4.1.476.1.42.3.4.3.5.0
lgpEnvStateFan,1.3.6.1.4.1.476.1.42.3.4.3.7.0
lgpEnvStateHeatingCapacity,1.3.6.1.4.1.476.1.42.3.4.3.10.0
lgpEnvStateOperatingReason,1.3.6.1.4.1.476.1.42.3.4.3.14.0
lgpEnvStateOperatingMode,1.3.6.1.4.1.476.1.42.3.4.3.15.0
lgpEnvStateFanCapacity,1.3.6.1.4.1.476.1.42.3.4.3.16.0
lgpEnvStateFreeCoolingCapacity,1.3.6.1.4.1.476.1.42.3.4.3.17.0
lgpEnvStateDehumidifyingCapacity,1.3.6.1.4.1.476.1.42.3.4.3.18.0
lgpEnvStateHumidifyingCapacity,1.3.6.1.4.1.476.1.42.3.4.3.19.0
lgpEnvStateFreeCooling,1.3.6.1.4.1.476.1.42.3.4.3.20.0
lgpEnvStateElectricHeater,1.3.6.1.4.1.476.1.42.3.4.3.21.0
lgpEnvStateHotWater,1.3.6.1.4.1.476.1.42.3.4.3.22.0
lgpEnvConfigRestartDelay,1.3.6.1.4.1.476.1.42.3.4.4.4.0
lgpEnvConfigTemperatureIntegTime,1.3.6.1.4.1.476.1.42.3.4.4.15.0
lgpEnvConfigHumidityIntegTime,1.3.6.1.4.1.476.1.42.3.4.4.18.0
lgpEnvConfigFreecoolingDeltaDegF,1.3.6.1.4.1.476.1.42.3.4.4.19.0
lgpEnvConfigFreecoolingDeltaDegC,1.3.6.1.4.1.476.1.42.3.4.4.20.0
lgpEnvConfigDeltaGlycolType,1.3.6.1.4.1.476.1.42.3.4.4.26.0
lgpEnvConfigHumidityControl,1.3.6.1.4.1.476.1.42.3.4.4.29.0
lgpEnvConfigTempControlAlgorithm,1.3.6.1.4.1.476.1.42.3.4.4.33.0
lgpEnvConfigBmsResetTimer,1.3.6.1.4.1.476.1.42.3.4.4.36.0
lgpEnvStatisticsComp1RunHr,1.3.6.1.4.1.476.1.42.3.4.6.1.0
lgpEnvStatisticsComp2RunHr,1.3.6.1.4.1.476.1.42.3.4.6.2.0
lgpEnvStatisticsFanRunHr,1.3.6.1.4.1.476.1.42.3.4.6.3.0
lgpEnvStatisticsReheat1RunHr,1.3.6.1.4.1.476.1.42.3.4.6.7.0
lgpEnvStatisticsReheat2RunHr,1.3.6.1.4.1.476.1.42.3.4.6.8.0
lgpEnvStatisticsReheat3RunHr,1.3.6.1.4.1.476.1.42.3.4.6.9.0
lgpEnvStatisticsHumidifyModeHrs,1.3.6.1.4.1.476.1.42.3.4.6.12.0
lgpEnvStatisticsDehumidifyModeHrs,1.3.6.1.4.1.476.1.42.3.4.6.13.0
lgpEnvStatisticsHotGasRunHr,1.3.6.1.4.1.476.1.42.3.4.6.14.0
lgpEnvStatisticsHotWaterRunHr,1.3.6.1.4.1.476.1.42.3.4.6.15.0
lgpEnvStatisticsFreeCoolRunHr,1.3.6.1.4.1.476.1.42.3.4.6.16.0
lgpSysState,1.3.6.1.4.1.476.1.42.3.7.2.2.0
lgpSysControlOperationOnOff,1.3.6.1.4.1.476.1.42.3.7.4.2.0
lgpSysMaintenanceCapacity,1.3.6.1.4.1.476.1.42.3.7.6.1.0
lgpSysMaintenanceYear,1.3.6.1.4.1.476.1.42.3.7.6.2.0
lgpSysMaintenanceMonth,1.3.6.1.4.1.476.1.42.3.7.6.3.0
System Status,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4123
 Possible states for the OID above:
  1: "Normal Operation"
  2: "StartUp"
  8: "Normal with Warning"
  16: "Normal with Alarm"
  32: "Abnormal Operation"
System Model Number,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4240
Return Air Temperature,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4291
System Date and Time,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4293
System Name,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4329
Server Class,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4553
 Possible states for the OID above:
  1: "UPS"
  2: "AIR"
  3: "PMP"
  4: "PDU"
  5: "MONITOR"
Ext Air Sensor A Temperature,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4594
Ext Air Sensor A Humidity,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4595
Ext Air Sensor B Temperature,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4597
Ext Air Sensor B Humidity,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4598
Ext Air Sensor A Over Temp - Event Control,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4602
 Possible states for the OID above:
  0: "disabled"
  1: "enabled"
Ext Air Sensor A Over Temp - Event Type,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4603
 Possible states for the OID above:
  0: "Message"
  1: "Warning"
  2: "Alarm"
Ext Air Sensor A Under Temp - Event Control,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4609
 Possible states for the OID above:
  0: "disabled"
  1: "enabled"
Ext Air Sensor A Under Temp - Event Type,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4610
 Possible states for the OID above:
  0: "Message"
  1: "Warning"
  2: "Alarm"
Unit Operating State,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4706
 Possible states for the OID above:
  0: "off"
  1: "on"
  2: "standby"
Unit Control Mode,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4707
 Possible states for the OID above:
  0: "Internal (Auto)"
  1: "External (Manual)"
Auto Restart Delay,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4710
Shutdown - Loss Of Power - Event Control,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4715
 Possible states for the OID above:
  0: "disabled"
  1: "enabled"
Shutdown - Loss Of Power - Event Type,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4716
 Possible states for the OID above:
  0: "Message"
  1: "Warning"
  2: "Alarm"
Customer Input 1 - Event Control,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4718
 Possible states for the OID above:
  0: "disabled"
  1: "enabled"
Customer Input 1 - Event Type,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4719
 Possible states for the OID above:
  0: "Message"
  1: "Warning"
  2: "Alarm"
Smoke Detected - Event Control,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4721
 Possible states for the OID above:
  0: "disabled"
  1: "enabled"
Smoke Detected - Event Type,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4722
 Possible states for the OID above:
  0: "Message"
  1: "Warning"
  2: "Alarm"
Water Under Floor - Event Control,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4724
 Possible states for the OID above:
  0: "disabled"
  1: "enabled"
Water Under Floor - Event Type,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4725
 Possible states for the OID above:
  0: "Message"
  1: "Warning"
  2: "Alarm"
Service Required - Event Control,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4727
 Possible states for the OID above:
  0: "disabled"
  1: "enabled"
Service Required - Event Type,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4728
 Possible states for the OID above:
  0: "Message"
  1: "Warning"
  2: "Alarm"
Fan Issue - Event Control,1.3.6.1.4.1.476.1.42.3.9.20.1.20.1.2.1.4730
 Possible states for the OID above:
